scenario,peak_total_load_mw,peak_stress_ratio,bottleneck_intervals,mean_congestion_index,zone_capacity_mw,annual_ev_energy_cost_eur,annual_savings_eur,reference_annual_savings_eur,savings_vs_reference_pct
baseline,2726.8565545714287,1.1901093389721198,58,20123.30157275112,2291.2655713857143,4391573.516915998,0.0,0.0,0.0
intervention_10pct,2723.7315545714287,1.1887454638984372,58,20123.30157275112,2291.2655713857143,4231007.577301996,160565.9396140026,170596.0,-5.879422955988069
intervention_15pct,2722.1690545714287,1.188063526361596,58,20123.30157275112,2291.2655713857143,4150724.6074949945,240848.9094210039,255894.0,-5.879422955988069
intervention_20pct,2720.6065545714287,1.1873815888247545,58,20123.30157275112,2291.2655713857143,4070441.6376879932,321131.8792280052,341192.0,-5.879422955988069
