timestamp,Baseline_Grid_Load_MW,EV_Load_MW,Total_Load_MW,Price_EUR_per_MWh,Zone_Capacity_MW,Stress_Ratio,Bottleneck,Congestion_Index
2025-01-01 00:00:00,2081.910357857143,0.0,2081.910357857143,72.00150726089134,2726.8565545714287,0.7634836362649631,False,14995.84168431647
2025-01-01 00:15:00,2067.796249035714,0.0,2067.796249035714,72.00150726089134,2726.8565545714287,0.7583076731957772,False,14894.178833847147
2025-01-01 00:30:00,2053.682140214286,0.0,2053.682140214286,72.00150726089134,2726.8565545714287,0.7531317101265917,False,14792.515983377833
2025-01-01 00:45:00,2039.5680313928572,0.0,2039.5680313928572,72.00150726089134,2726.8565545714287,0.747955747057406,False,14690.85313290851
2025-01-01 01:00:00,2025.4539225714286,0.0,2025.4539225714286,66.68505131414268,2726.8565545714287,0.7427797839882204,False,14589.190282439193
2025-01-01 01:15:00,2014.4053592142861,0.0,2014.4053592142861,66.68505131414268,2726.8565545714287,0.7387280258058473,False,14509.60832238142
2025-01-01 01:30:00,2003.3567958571427,0.0,2003.3567958571427,66.68505131414268,2726.8565545714287,0.7346762676234738,False,14430.02636232364
2025-01-01 01:45:00,1992.3082324999998,0.0,1992.3082324999998,66.68505131414268,2726.8565545714287,0.7306245094411006,False,14350.444402265866
2025-01-01 02:00:00,1981.259669142857,0.0,1981.259669142857,63.89488610763455,2726.8565545714287,0.7265727512587274,False,14270.862442208094
2025-01-01 02:15:00,1972.5121540000002,0.0,1972.5121540000002,63.89488610763455,2726.8565545714287,0.7233648395230726,False,14207.854757118108
2025-01-01 02:30:00,1963.7646388571427,0.0,1963.7646388571427,63.89488610763455,2726.8565545714287,0.7201569277874176,False,14144.847072028117
2025-01-01 02:45:00,1955.0171237142856,0.0,1955.0171237142856,63.89488610763455,2726.8565545714287,0.7169490160517628,False,14081.83938693813
2025-01-01 03:00:00,1946.2696085714285,0.0,1946.2696085714285,61.357474342928654,2726.8565545714287,0.7137411043161078,False,14018.831701848141
2025-01-01 03:15:00,1948.3993599642858,0.0,1948.3993599642858,61.357474342928654,2726.8565545714287,0.7145221323424215,False,14034.172138862496
2025-01-01 03:30:00,1950.5291113571427,0.0,1950.5291113571427,61.357474342928654,2726.8565545714287,0.715303160368735,False,14049.51257587685
2025-01-01 03:45:00,1952.6588627500003,0.0,1952.6588627500003,61.357474342928654,2726.8565545714287,0.7160841883950487,False,14064.853012891206
2025-01-01 04:00:00,1954.788614142857,0.0,1954.788614142857,61.061131414267834,2726.8565545714287,0.7168652164213621,False,14080.193449905557
2025-01-01 04:15:00,1968.2939796785718,0.0,1968.2939796785718,61.061131414267834,2726.8565545714287,0.7218179395534512,False,14177.471568868783
2025-01-01 04:30:00,1981.7993452142857,0.0,1981.7993452142857,61.061131414267834,2726.8565545714287,0.72677066268554,False,14274.749687832005
2025-01-01 04:45:00,1995.3047107500004,50.0,2045.3047107500004,61.061131414267834,2726.8565545714287,0.7500595171833138,False,14732.173997233309
2025-01-01 05:00:00,2008.8100762857143,0.0,2008.8100762857143,64.70441551939925,2726.8565545714287,0.7366761089497179,False,14469.305925758452
2025-01-01 05:15:00,2040.4223548571426,0.0,2040.4223548571426,64.70441551939925,2726.8565545714287,0.7482690468028045,False,14697.006759729797
2025-01-01 05:30:00,2072.0346334285714,0.0,2072.0346334285714,64.70441551939925,2726.8565545714287,0.7598619846558913,False,14924.707593701143
2025-01-01 05:45:00,2103.646912,0.0,2103.646912,64.70441551939925,2726.8565545714287,0.771454922508978,False,15152.40842767249
2025-01-01 06:00:00,2135.2591905714285,0.0,2135.2591905714285,76.242112640801,2726.8565545714287,0.7830478603620645,False,15380.109261643833
2025-01-01 06:15:00,2181.56609675,0.0,2181.56609675,76.242112640801,2726.8565545714287,0.800029650658639,False,15713.654378667552
2025-01-01 06:30:00,2227.873002928571,0.0,2227.873002928571,76.242112640801,2726.8565545714287,0.8170114409552133,False,16047.19949569127
2025-01-01 06:45:00,2274.1799091071425,0.0,2274.1799091071425,76.242112640801,2726.8565545714287,0.8339932312517877,False,16380.744612714989
2025-01-01 07:00:00,2320.486815285715,0.0,2320.486815285715,88.03397997496872,2726.8565545714287,0.8509750215483625,False,16714.289729738714
2025-01-01 07:15:00,2356.4626918571425,0.0,2356.4626918571425,88.03397997496872,2726.8565545714287,0.8641681895245495,False,16973.421227636118
2025-01-01 07:30:00,2392.438568428571,0.0,2392.438568428571,88.03397997496872,2726.8565545714287,0.877361357500737,False,17232.552725533526
2025-01-01 07:45:00,2428.414445,0.0,2428.414445,88.03397997496872,2726.8565545714287,0.8905545254769245,False,17491.684223430937
2025-01-01 08:00:00,2464.3903215714286,0.0,2464.3903215714286,91.84339674593241,2726.8565545714287,0.9037476934531119,False,17750.815721328345
2025-01-01 08:15:00,2482.699725357143,0.0,2482.699725357143,91.84339674593241,2726.8565545714287,0.9104621661139565,False,17882.696961780697
2025-01-01 08:30:00,2501.0091291428575,0.0,2501.0091291428575,91.84339674593241,2726.8565545714287,0.9171766387748009,False,18014.57820223305
2025-01-01 08:45:00,2519.318532928571,0.0,2519.318532928571,91.84339674593241,2726.8565545714287,0.9238911114356452,False,18146.459442685395
2025-01-01 09:00:00,2537.627936714286,0.0,2537.627936714286,86.27630037546933,2726.8565545714287,0.9306055840964897,False,18278.340683137747
2025-01-01 09:15:00,2537.458083107143,0.0,2537.458083107143,86.27630037546933,2726.8565545714287,0.9305432949354195,False,18277.117240546853
2025-01-01 09:30:00,2537.2882294999995,0.0,2537.2882294999995,86.27630037546933,2726.8565545714287,0.9304810057743492,False,18275.893797955956
2025-01-01 09:45:00,2537.118375892857,0.0,2537.118375892857,86.27630037546933,2726.8565545714287,0.9304187166132791,False,18274.670355365062
2025-01-01 10:00:00,2536.9485222857143,0.0,2536.9485222857143,77.34846808510639,2726.8565545714287,0.9303564274522091,False,18273.446912774172
2025-01-01 10:15:00,2533.576657,0.0,2533.576657,77.34846808510639,2726.8565545714287,0.9291198881556841,False,18249.159624027765
