method_key,display_name,model_type,reference_method,n_evs,kwh_per_day,app_adoption_rate,zone_capacity_mw,peak_total_load_mw,peak_reduction_mw_vs_reference,peak_stress_ratio,bottleneck_intervals_per_day,overload_minutes_per_day,minutes_above_stress_095,mean_congestion_index,ev_energy_mwh_per_day,daily_ev_energy_cost_eur,annual_ev_energy_cost_eur,annual_customer_savings_eur,monthly_savings_per_ev_eur,annual_dso_savings_eur,annual_total_savings_eur,congestion_stress_integral_saved,dso_savings_warning,rank_by_total_savings
immediate_plug_in,Immediate plug-in,deterministic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2695.6065545714287,0.0,1.1764705882352942,58.0,870.0,975.0,20123.30157275112,125.0,12425.391211817729,4535267.7923134705,0.0,0.0,1.13464793116691e-09,1.13464793116691e-09,1.5543122344752192e-15,False,7
unmanaged_evening,Baseline (evening peak),deterministic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2714.3565545714287,-18.75,1.1846538386773895,58.0,870.0,975.0,20123.30157275112,125.0,12189.18144404106,4449051.227074987,86216.56523848325,1.4369427539747208,-128866.50088419067,-42649.93564570742,0.0,True,8
smart_flat_spread,Smart (flat spread),deterministic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2695.6065545714287,0.0,1.1764705882352942,58.0,870.0,975.0,20123.30157275112,125.00000000000003,10804.863812442694,3943775.2915415834,591492.5007718871,9.85820834619812,78081.80600293976,669574.306774827,0.10696137808621886,False,6
smart_price_aware,Smart (price-aware),deterministic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2695.6065545714287,0.0,1.1764705882352942,58.0,870.0,975.0,20123.30157275112,125.0,9585.024449683286,3498533.9241343993,1036733.8681790712,17.27889780298452,95580.36516367449,1132314.2333427458,0.1309320070735267,False,4
smart_grid_aware,Simulation Algorithm,deterministic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2695.6065545714287,0.0,1.1764705882352942,58.0,870.0,975.0,20123.30157275112,125.0,9629.656086103812,3514824.4714278914,1020443.3208855791,17.007388681426317,95580.36516367449,1116023.6860492537,0.1309320070735267,False,5
simulation_v5,el diablo,stochastic_v5,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2705.9617337339314,-10.355179162502736,1.1809900028731357,57.53333333333333,863.0,983.0,20116.907819501233,125.0,9370.463577209037,3420219.205681299,1115048.586632172,18.584143110536203,311689.0058222018,1426737.5924543738,0.43646426037384006,True,2
price_oriented_baseline,Price-oriented,price_oriented_stochastic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2708.2225799634807,-12.616025392052052,1.1819767266548669,57.43333333333333,861.5,983.0,20116.907819501233,125.0,9319.687806727423,3401686.0494555095,1133581.7428579614,18.89302904763269,307563.753814202,1441145.4966721635,0.41609888082966556,True,1
grid_oriented_baseline,Grid-oriented,grid_oriented_stochastic,immediate_plug_in,5000,25.0,0.6,2291.2655713857143,2704.4444192496403,-8.837864678211645,1.1803277861038355,57.43333333333333,861.5,983.0,20116.907819501233,125.0,9709.743686689768,3544056.4456417654,991211.346671705,16.520189111195084,347610.60358696984,1338821.9502586748,0.43538655807304116,True,3
