scenario,peak_total_load_mw,peak_stress_ratio,bottleneck_intervals,mean_congestion_index,zone_capacity_mw,annual_ev_energy_cost_eur,annual_savings_eur,overload_minutes,minutes_above_stress_095,congestion_stress_integral_saved,annual_customer_savings_eur,annual_dso_savings_eur,annual_total_savings_eur,dso_savings_warning
immediate_plug_in,2695.6065545714287,1.1764705882352942,58,20123.30157275112,2291.2655713857143,4535267.79231347,0.0,870,975,0.0,0.0,0.0,0.0,False
unmanaged_evening,2726.8565545714287,1.1901093389721198,58,20123.30157275112,2291.2655713857143,4391573.516915998,143694.27539747115,870,975,0.0,143694.27539747115,-27277.501473651268,116416.77392381988,True
smart_flat_spread,2695.6065545714287,1.1764705882352942,58,20123.30157275112,2291.2655713857143,3549446.957693659,985820.8346198108,870,975,0.17826896347703003,985820.8346198108,130136.34333823193,1115957.1779580428,False
smart_price_aware,2695.6065545714287,1.1764705882352942,58,20123.30157275112,2291.2655713857143,2807378.0120150186,1727889.780298451,870,975,0.21822001178920902,1727889.780298451,159300.60860612258,1887190.3889045736,False
smart_grid_aware,2695.6065545714287,1.1764705882352942,58,20123.30157275112,2291.2655713857143,2834528.924170838,1700738.8681426314,870,975,0.21822001178920902,1700738.8681426314,159300.60860612258,1860039.476748754,False
