run_id,app_adoption_target,app_adoption_actual,zone_capacity_mw,peak_unmanaged_mw,peak_managed_mw,peak_reduction_mw,peak_stress_unmanaged,peak_stress_managed,ev_energy_managed_mwh,ev_energy_target_mwh
1,0.6,0.599,2291.2655713857143,2727.1356797968356,2722.3672731157303,4.768406681105262,1.1902311603920777,1.1881500368677447,124.99999999999999,125.0
2,0.6,0.6148,2291.2655713857143,2653.4726010419604,2648.4934574457056,4.979143596254744,1.158081644563441,1.1559085470148913,125.0,125.0
3,0.6,0.5934,2291.2655713857143,2758.6578244966267,2753.8733774728985,4.784447023728262,1.2039886859680968,1.2019005617962513,124.99999999999997,125.0
4,0.6,0.6042,2291.2655713857143,2720.317920613915,2715.5246237459805,4.793296867934259,1.1872556174135318,1.185163630815472,124.99999999999999,125.0
5,0.6,0.5974,2291.2655713857143,2692.8552852734933,2688.0686257887137,4.786659484779648,1.1752698241980326,1.1731807344196337,125.0,125.0
