hour,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active
0,2042.4180467367178,2040.3316340081192,2.086412728598682,2042.4180467367178,1.0083910812869834,2041.3400250894063,0.8913929804747608,0.8909224886815902,200,80
1,2016.519356146129,2013.7015573334807,2.8177988126482245,2016.519356146129,1.2746072292723194,2014.976164562753,0.8800897553427541,0.8794162447717194,256,95
2,1961.4477580641021,1957.7593133175474,3.688444746554846,1961.4477580641021,10.657697058575065,1968.4170103761223,0.8560543057773331,0.8590959664207152,371,1647
3,1912.5270353315361,1908.8156038876732,3.7114314438629106,1912.5270353315361,24.019611434984686,1932.8352153226579,0.8347033443944587,0.8435666469486186,402,2056
4,1920.4850525390455,1917.444562743569,3.040489795476555,1920.4850525390455,19.278847682483665,1936.7234104260526,0.8381765416121415,0.8452636109112217,355,1988
5,2048.977087099841,2046.825748520316,2.151338579524966,2048.977087099841,2.151338579524966,2048.977087099841,0.8942556082054941,0.8942556082054941,264,264
6,2164.273575966674,2161.7285899580866,2.5449860085871783,2164.273575966674,2.5449860085871787,2164.273575966674,0.9445756105250436,0.9445756105250436,202,202
7,2299.38971587984,2295.1816598323267,4.208056047513474,2299.38971587984,4.208056047513474,2299.38971587984,1.0035457018145706,1.0035457018145706,231,231
8,2436.571375032933,2429.0853546184094,7.486020414523298,2436.571375032933,3.9460827322273144,2433.0314373506367,1.063417268369873,1.0618722978843456,372,272
9,2436.0024041750617,2426.324048332435,9.678355842626617,2436.0024041750617,9.374142448054306,2435.6981907804893,1.0631689467152483,1.0630361758141484,525,514
10,2452.5285213396032,2444.0891060308313,8.439415308771725,2452.5285213396032,4.097460495330559,2448.186566526162,1.0703816056802007,1.0684866028190458,534,423
11,2437.434743461326,2432.353890714551,5.08085274677479,2437.434743461326,12.520253032224943,2444.874143746776,1.063794076907118,1.067040928943109,397,610
12,2453.0952262111587,2450.8719316068054,2.223294604353238,2453.0952262111587,2.9700002092125466,2453.841931816018,1.0706289383677043,1.0709548305794954,218,227
13,2541.1046897504334,2540.241562850558,0.8631268998756609,2541.1046897504334,0.8631268998756612,2541.1046897504334,1.1090397907099092,1.1090397907099092,93,93
14,2561.3953377905314,2560.816881951258,0.578455839273213,2561.3953377905314,0.32402281835818925,2561.140904769616,1.117895441618951,1.1177843968653036,55,40
15,2575.0481410529055,2573.4897180742278,1.5584229786776422,2575.0481410529055,0.775211766469656,2574.2649298406973,1.1238540713966931,1.1235122466767702,126,58
16,2693.6954699364096,2689.626809436671,4.068660499738506,2693.6954699364096,1.608403810542798,2691.235213247214,1.1756365144121261,1.1745627599246844,340,132
17,2720.317920613915,2712.286192277244,8.031728336670593,2720.317920613915,3.2384314687366875,2715.5246237459805,1.1872556174135318,1.185163630815472,711,290
18,2584.6204216001283,2572.619877671621,12.000543928507467,2584.6204216001283,4.551740683588712,2577.17161835521,1.1280317977444223,1.1247808418805791,1143,444
19,2512.1226579402523,2498.41785348721,13.704804453042296,2512.1226579402523,5.772578468384999,2504.1904319555947,1.0963908720633233,1.09292893116755,1423,561
20,2430.480582540735,2418.365664002751,12.114918537984229,2430.480582540735,4.256256883287147,2422.6219208860384,1.060759002750967,1.0573291682730965,1382,529
21,2303.129561930116,2294.744210545618,8.38535138449802,2303.129561930116,3.028983178973909,2297.7731937245917,1.0051779203129327,1.0028401868470191,1050,415
22,2203.3280201618504,2198.7543368795664,4.573683282283922,2203.3280201618504,1.7367550990814071,2200.491091978648,0.9616205330704284,0.9603823840672613,622,263
23,2176.5506251957477,2174.587218416116,1.9634067796319354,2176.5506251957477,0.7930148834228261,2175.3802332995388,0.949933806180054,0.9494230003132765,285,123
