hour,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active
0,2105.9495037377596,2103.863091009161,2.086412728598682,2105.9495037377596,0.6704376556802887,2104.5335286648415,0.9191206510662668,0.918502662872056,200,71
1,1944.2997258510145,1941.4819270383662,2.8177988126482245,1944.2997258510145,0.8409648631910613,1942.3228919015573,0.8485702181939296,0.847707448738418,256,94
2,1892.7619753163358,1889.073530569781,3.688444746554846,1892.7619753163358,10.793763413238318,1899.8672939830194,0.8260770811353958,0.8291781265818154,371,1680
3,1812.925719629896,1809.2142881860332,3.7114314438629106,1812.925719629896,30.55356203513507,1839.7678502211681,0.7912333438211934,0.8029483239293432,402,2268
4,1870.7741550638261,1867.7336652683496,3.040489795476555,1870.7741550638261,11.92352091698804,1879.6571861853377,0.8164807163459524,0.8203576266580728,355,1815
5,1972.6072741189435,1970.4559355394185,2.151338579524966,1972.6072741189435,2.151338579524966,1972.6072741189435,0.8609247652274318,0.8609247652274318,264,264
6,2133.922745105973,2131.3777590973855,2.5449860085871783,2133.922745105973,2.5449860085871783,2133.922745105973,0.9313292931885746,0.9313292931885746,202,202
7,2253.268427754124,2249.0603717066106,4.208056047513474,2253.268427754124,4.208056047513473,2253.268427754124,0.9834165257375161,0.9834165257375161,231,231
8,2403.334105627917,2395.8480852133935,7.486020414523298,2403.334105627917,7.486020414523298,2403.334105627917,1.0489111937270656,1.0489111937270656,372,372
9,2454.886385881159,2445.2080300385323,9.678355842626617,2454.886385881159,9.678355842626617,2454.886385881159,1.071410672136312,1.071410672136312,525,525
10,2460.7005894677472,2452.2611741589753,8.439415308771725,2460.7005894677472,8.439415308771725,2460.7005894677472,1.0739482232867323,1.0739482232867323,534,534
11,2529.6388116794487,2524.557958932674,5.08085274677479,2529.6388116794487,3.034326274197424,2527.5922852068716,1.1040356226142616,1.1031424365523161,397,341
12,2494.9460742570022,2492.722779652649,2.223294604353238,2494.9460742570022,4.269821076930603,2496.9926007295794,1.088894323475609,1.0897875095375544,218,274
13,2553.383951149132,2552.5208242492563,0.8631268998756609,2553.383951149132,0.863126899875661,2553.383951149132,1.114398951844283,1.114398951844283,93,93
14,2599.858050046257,2599.279594206984,0.578455839273213,2599.858050046257,0.31185428257529674,2599.5914484895593,1.13468210866273,1.1345657530730386,55,38
15,2595.483529194683,2593.925106216005,1.5584229786776422,2595.483529194683,0.6280831065492292,2594.5531893225543,1.1327728926791245,1.132366855123397,126,48
16,2669.1793233847234,2665.110662884985,4.068660499738506,2669.1793233847234,1.8600712551435281,2666.970734140128,1.1649366868330562,1.16397277009107,340,145
17,2692.8552852734933,2684.8235569368226,8.031728336670593,2692.8552852734933,3.2450688518909923,2688.0686257887137,1.1752698241980326,1.1731807344196337,711,282
18,2630.6203417972256,2618.6197978687183,12.000543928507467,2630.6203417972256,5.22432884322495,2623.8441267119433,1.1481080039998488,1.1451505925282557,1143,471
19,2500.222342977681,2486.5175385246384,13.704804453042296,2500.222342977681,5.662508531076109,2492.1800470557146,1.0911970983204682,1.0876871184986605,1423,546
20,2445.9733557707655,2433.8584372327814,12.114918537984229,2445.9733557707655,5.16945018226694,2439.0278874150486,1.0675206690647767,1.0644893886918443,1382,537
21,2287.3169357176544,2278.9315843331565,8.38535138449802,2287.3169357176544,3.083188474734066,2282.0147728078905,0.9982766573559293,0.9959625812505754,1050,386
22,2150.394765081625,2145.821081799341,4.573683282283922,2150.394765081625,1.612857280201048,2147.4339390795417,0.9385183419751324,0.9372261190049715,622,232
23,2089.7366109975333,2087.7732042179014,1.9634067796319354,2089.7366109975333,0.7448938555541151,2088.5180980734553,0.9120446957764481,0.9115128879671329,285,108
