hour,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active
0,2130.5710492355092,2128.4846365069106,2.086412728598682,2130.5710492355092,0.8822808013551889,2129.366917308266,0.9298664789638418,0.9293409475971242,200,79
1,2021.8408957294869,2019.0230969168385,2.8177988126482245,2021.8408957294869,1.1053539588375427,2020.128450875676,0.8824122882039883,0.8816649087316143,256,100
2,1920.747981771087,1917.0595370245323,3.688444746554846,1920.747981771087,10.397179769768593,1927.456716794301,0.8382912944523733,0.8412192549240861,371,1631
3,1890.5289948738548,1886.8175634299919,3.7114314438629106,1890.5289948738548,21.433244465857168,1908.250807895849,0.8251025190984292,0.8328370275916007,402,1958
4,1891.0223899102787,1887.981900114802,3.040489795476555,1891.0223899102787,20.767280854836553,1908.7491809696387,0.8253178564397595,0.8330545375476763,355,2029
5,1943.0573984632524,1940.9060598837275,2.151338579524966,1943.0573984632524,2.151338579524966,1943.0573984632524,0.8480280167995227,0.8480280167995227,264,264
6,2102.8458348834347,2100.3008488748474,2.5449860085871783,2102.8458348834347,2.5449860085871787,2102.8458348834347,0.9177660857583056,0.9177660857583056,202,202
7,2268.2685390228576,2264.0604829753443,4.208056047513474,2268.2685390228576,4.208056047513474,2268.2685390228576,0.9899631746533212,0.9899631746533212,231,231
8,2388.2417793538316,2380.755758939308,7.486020414523298,2388.2417793538316,7.486020414523298,2388.2417793538316,1.0423242984921508,1.0423242984921508,372,372
9,2496.1659381748354,2486.4875823322086,9.678355842626617,2496.1659381748354,5.032187634613138,2491.5197699668215,1.0894267209126707,1.0873989471504157,525,399
10,2451.400473202663,2442.961057893891,8.439415308771725,2451.400473202663,13.085583516785205,2456.0466414106763,1.0698892803247169,1.0719170540869714,534,660
11,2473.854840782523,2468.773988035748,5.08085274677479,2473.854840782523,5.08085274677479,2473.854840782523,1.0796892650407093,1.0796892650407093,397,397
12,2513.164805962588,2510.941511358235,2.223294604353238,2513.164805962588,1.4765889994939287,2512.4181003577287,1.0968457071707638,1.0965198149589728,218,199
13,2478.6864709606216,2477.823344060746,0.8631268998756609,2478.6864709606216,1.60983250473497,2479.433176565481,1.0817979818295609,1.082123874041352,93,112
14,2481.4553870297605,2480.876931190487,0.578455839273213,2481.4553870297605,0.3610815409697253,2481.238012731457,1.0830064476240626,1.0829115767801856,55,37
15,2580.5350775346124,2578.9766545559346,1.5584229786776422,2580.5350775346124,0.5417971255432645,2579.518451681478,1.1262487900841425,1.1258050938728301,126,50
16,2724.7787687749233,2720.7101082751847,4.068660499738506,2724.7787687749233,1.761616738354671,2722.4717250135395,1.189202510090102,1.1881956238564872,340,141
17,2758.6578244966267,2750.626096159956,8.031728336670593,2758.6578244966267,3.2472813129424276,2753.8733774728985,1.2039886859680968,1.2019005617962513,711,293
18,2636.196686750386,2624.1961428218788,12.000543928507467,2636.196686750386,5.217138344807785,2629.4132811666864,1.1505417441226875,1.1475811944297958,1143,486
19,2517.306279062311,2503.6014746092687,13.704804453042296,2517.306279062311,5.595028469007342,2509.1965030782762,1.0986532117880563,1.0951137809663685,1423,589
20,2446.98460138615,2434.869682848166,12.114918537984229,2446.98460138615,4.676071367796936,2439.545754215963,1.0679620171249986,1.0647154064906459,1382,551
21,2332.78928944959,2324.403938065092,8.38535138449802,2332.78928944959,3.484197040306658,2327.8881351053988,1.0181226124908616,1.0159835525733212,1050,420
22,2222.7527743366663,2218.1790910543823,4.573683282283922,2222.7527743366663,2.0459465310194473,2220.225037585402,0.97009827324049,0.9689950677531682,622,242
23,2071.2459639557496,2069.2825571761177,1.9634067796319354,2071.2459639557496,0.8090552260457298,2070.0916124021633,0.9039746373455518,0.9034708321262868,285,115
