slot,time,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active,price_eur_mwh
0,00:00,2064.4523292817635,2062.0452252871537,2.407103994609745,2064.4523292817635,1.0590678644088718,2063.1042931515626,0.9010096232682541,0.9004212863478047,211,91,72.00150726089134
1,00:15,2057.7680269066464,2055.949675226597,1.8183516800497102,2057.7680269066464,0.7828242170154904,2056.732499443612,0.8980923261820527,0.89764038055167,165,71,72.00150726089134
2,00:30,2053.9422090839766,2052.5276605588956,1.414548525081227,2053.9422090839766,0.5932757733027471,2053.120936332198,0.89642258616132,0.8960641498621695,129,54,72.00150726089134
3,00:45,2042.1678009940902,2041.0934794443629,1.0743215497273997,2042.1678009940902,0.47340370284138017,2041.5668831472042,0.891283763216948,0.8910214986176844,98,43,72.00150726089134
4,01:00,2030.8304536540413,2030.0394252577958,0.7910283962454527,2030.8304536540413,0.36092830747777477,2030.4003535652735,0.8863356910765404,0.8861479781836574,72,33,66.68505131414268
5,01:15,2004.1509586864224,2003.5930454748584,0.5579132115639313,2004.1509586864224,0.23744550374715953,2003.8304909786057,0.8746916916638126,0.8745518267298569,51,22,66.68505131414268
6,01:30,2002.4018094233372,2002.0334659549226,0.3683434684146015,2002.4018094233372,0.17268636721364644,2002.2061523221362,0.8739282929181894,0.873842900328328,33,16,66.68505131414268
7,01:45,1986.566264225479,1986.350263864422,0.21600036105694737,1986.566264225479,0.060725796841789526,1986.4109896612638,0.867017027198659,0.8669492591641919,20,6,66.68505131414268
8,02:00,1985.7812931833225,1985.6862714940667,0.09502168925580923,1985.7812931833225,0.02713910882493342,1985.7134106028916,0.8666744344185119,0.866644807743508,9,2,63.89488610763455
9,02:15,1989.3338668248791,1989.3337669989285,9.982595060382066e-05,1989.3338668248791,0.00010940434352305679,1989.333876403272,0.8682249197423969,0.8682249239227909,0,0,63.89488610763455
10,02:30,1974.4762917497148,1974.4760806382337,0.00021111148116043053,1974.4762917497148,4.563419379800338,1979.039500018034,0.8617404793262742,0.8637320460504926,0,487,63.89488610763455
11,02:45,1940.5245532176707,1940.5241187280449,0.0004344896258146398,1940.5245532176707,12.069030921455907,1952.5931496495007,0.8469225817608205,0.8521898002720868,0,1288,63.89488610763455
12,03:00,1935.2598624721008,1935.2589921790825,0.0008702930183882125,1935.2598624721008,24.37827590535607,1959.6372680844386,0.8446248600076909,0.8552641354879202,0,1577,61.357474342928654
13,03:15,1923.313166866976,1923.3114702198736,0.0016966471022636705,1923.313166866976,34.04731370044761,1957.3587839203212,0.839410843896106,0.8542697138056098,0,1688,61.357474342928654
14,03:30,1947.1072603961468,1947.1040409500406,0.003219446106217063,1947.1072603961468,14.32940029548672,1961.4334412455273,0.8497955386370044,0.8560480573446967,0,1341,61.357474342928654
15,03:45,1970.0085171131163,1970.0025706233635,0.005946489752949573,1970.0085171131163,12.075071803128063,1982.0776424264916,0.859790563658534,0.8650580129948744,0,1288,61.357474342928654
16,04:00,1982.0321157015537,1982.0214236951756,0.010692006378101564,1982.0321157015537,12.080272656492465,1994.1016963516681,0.8650381433099691,0.8703057913734866,1,1289,61.061131414267834
17,04:15,1947.2125667687264,1947.1938509363254,0.018715832401052682,1947.2125667687264,15.794473852684701,1962.98832478901,0.849841498552736,0.856726670755076,1,1318,61.061131414267834
18,04:30,1955.2074882842035,1955.1755915284907,0.031896755712789125,1955.2074882842035,12.10188201718968,1967.2774735456803,0.8533308022874584,0.8585986269395686,2,1290,61.061131414267834
19,04:45,1960.1650541946178,1960.1121230359954,0.052931158622441916,1960.1650541946178,12.123304686563749,1972.235427722559,0.8554944824702913,0.8607624765774262,3,1291,61.061131414267834
20,05:00,1960.8314242550398,1960.7458883484837,0.08553590655616344,1960.8314242550398,7.595849878447568,1968.3417382269313,0.8557853130351738,0.8590631146421474,4,806,64.70441551939925
21,05:15,1990.4575896135302,1990.3229702836823,0.1346193298480307,1990.4575896135302,0.14264616765909366,1990.4656164513412,0.8687153573427714,0.868718860576055,7,8,64.70441551939925
22,05:30,2002.4660015128234,2002.2596328998097,0.2063686130135267,2002.4660015128234,0.21224074781121843,2002.471873647621,0.8739563089152383,0.8739588717498878,11,12,64.70441551939925
23,05:45,2039.6434231813053,2039.3352330611042,0.3081901202011016,2039.6434231813053,0.30990299763730433,2039.6451360587414,0.8901820237048154,0.890182771273084,16,18,64.70441551939925
24,06:00,2057.045934398728,2056.428967656,0.6169667427281533,2057.045934398728,0.6318588016201837,2057.0608264576204,0.897777176110871,0.8977836756014052,24,26,76.242112640801
25,06:15,2110.263987147118,2109.295404031146,0.9685831159717387,2110.263987147118,1.0049139715937063,2110.30031800274,0.9210036643071758,0.9210195205466601,34,38,76.242112640801
26,06:30,2168.6738540537276,2167.380633579355,1.2932204743722724,2168.6738540537276,1.2833494840287867,2168.663983063384,0.9464960679971088,0.9464917599018505,45,49,76.242112640801
27,06:45,2236.687888942055,2234.996526279246,1.6913626628086953,2236.687888942055,1.7057646604059613,2236.702290939652,0.9761801149874338,0.9761864005956047,58,64,76.242112640801
28,07:00,2266.3233623101937,2264.160707651394,2.1626546587995663,2266.3233623101937,2.1812310958501895,2266.3419387472445,0.9891142216829819,0.9891223291836064,75,82,88.03397997496872
29,07:15,2366.842657096154,2364.1425203558015,2.7001367403526464,2366.842657096154,2.7292386172031096,2366.8717589730045,1.0329848650694526,1.0329975662932713,94,103,88.03397997496872
30,07:30,2392.2574616979387,2388.9682665766004,3.289195121338226,2392.2574616979387,2.224317902489822,2391.1925844790903,1.0440769029890962,1.043612147950594,116,95,88.03397997496872
31,07:45,2411.8169055688845,2407.909584145409,3.907321423475251,2411.8169055688845,1.3957024260419026,2409.305286571451,1.0526134271333125,1.0515172560788526,140,87,88.03397997496872
32,08:00,2475.9820803084986,2471.4571772218396,4.524903086659143,2475.9820803084986,2.2201716289879276,2473.6773488508275,1.080617677509583,1.0796118004578552,165,104,91.84339674593241
33,08:15,2549.6053475339486,2544.498235247527,5.107112286421203,2549.6053475339486,2.5837643599542033,2547.0819996074815,1.1127498179933788,1.111648527964855,191,108,91.84339674593241
34,08:30,2606.2415391502586,2600.589984798756,5.651554351502406,2606.2415391502586,2.5390761522513525,2603.1290609510074,1.1374681187977929,1.1361097087391245,217,116,91.84339674593241
35,08:45,2637.6229518468535,2631.5224609890524,6.1004908578009385,2637.6229518468535,2.6439785466293895,2634.166439535682,1.151164223295019,1.1496556629804322,243,119,91.84339674593241
36,09:00,2657.4284564417408,2651.0026442410326,6.425812200708089,2657.4284564417408,2.996214734508716,2653.998858975541,1.159808138187394,1.1583113245883814,265,139,86.27630037546933
37,09:15,2679.282212075225,2672.6746798015834,6.607532273641648,2679.282212075225,3.574070976837726,2676.2487507784213,1.1693459918113487,1.1680220678914475,282,162,86.27630037546933
38,09:30,2663.6302388439817,2656.994308361229,6.635930482752797,2663.6302388439817,3.2294139960646397,2660.2237223572934,1.1625148442452562,1.1610281041094856,294,166,86.27630037546933
39,09:45,2662.3645907968507,2655.8521574361375,6.512433360713383,2662.3645907968507,3.038877157095541,2658.891034593233,1.1619624647817244,1.1604464658303166,301,175,86.27630037546933
40,10:00,2645.045323939852,2638.7961831526654,6.249140787186504,2645.045323939852,3.4221313628900045,2642.2183145155554,1.154403643546295,1.1531698234864987,301,194,77.34846808510639
41,10:15,2629.8015502939365,2623.934408322937,5.867141970999246,2629.8015502939365,3.4096193147608664,2627.3440276376978,1.1477506506168476,1.1466780893708142,294,214,77.34846808510639
42,10:30,2615.6678434245305,2610.2738804161922,5.393963008338207,2615.6678434245305,2.9224383083604106,2613.196318724553,1.1415821352575135,1.1405034629591806,282,222,77.34846808510639
43,10:45,2604.208513210883,2599.347913219798,4.8605999910849516,2604.208513210883,3.1199285353678796,2602.467841755166,1.1365808249088765,1.135821126217701,265,242,77.34846808510639
44,11:00,2603.309024210099,2599.01042107269,4.298603137408841,2603.309024210099,5.2331337864486684,2604.243554859139,1.1361882519081656,1.1365961184866673,244,305,70.93126908635794
45,11:15,2579.6277355754587,2575.890136678289,3.737598897170004,2579.6277355754587,6.901577321779781,2582.7917140000686,1.1258527897380959,1.1272336765563342,221,329,70.93126908635794
46,11:30,2606.4495025720576,2603.2460030457846,3.2034995262728927,2606.4495025720576,2.949777594974167,2606.1957806407586,1.1375588823585063,1.1374481479528278,196,256,70.93126908635794
47,11:45,2613.941757442809,2611.2242643198424,2.717493122966565,2613.941757442809,3.5875471259431677,2614.8118114457857,1.1408288022509525,1.1412085286405262,171,266,70.93126908635794
48,12:00,2600.4558389260346,2598.1600709563263,2.295767969708327,2600.4558389260346,6.654602967473112,2604.8146739237995,1.134943007655515,1.1368453777047138,147,324,64.54491236855283
49,12:15,2595.004352113285,2593.05452491392,1.9498271993650784,2595.004352113285,6.798606930042652,2599.8531318439627,1.1325637606224213,1.1346799621624046,125,289,64.54491236855283
50,12:30,2623.0595378670696,2621.372336335767,1.6872015313024484,2623.0595378670696,2.0647394974509563,2623.437075833218,1.1448081665542997,1.1449729392331474,106,191,64.54491236855283
51,12:45,2618.136002885274,2616.623639208982,1.5123636762924535,2618.136002885274,2.748579116899766,2619.3722183258815,1.1426593388307558,1.1431988727268023,91,207,64.54491236855283
52,13:00,2606.4694457547407,2605.0417713374345,1.4276744173062754,2606.4694457547407,3.9583759774086533,2609.000147314843,1.1375675863616268,1.1386720858101878,80,209,60.76008512769154
53,13:15,2573.8835115461557,2572.4492796954173,1.4342318507382894,2573.8835115461557,7.638907477065912,2580.0881871724832,1.123345780467307,1.126053749243958,73,234,60.76008512769154
54,13:30,2592.5778648930345,2591.0453257210092,1.5325391720254908,2592.5778648930345,3.2505993755912206,2594.2959250966005,1.1315047444828021,1.1322545747185557,70,169,60.76008512769154
55,13:45,2582.99051074967,2581.267565632273,1.7229451173972157,2582.99051074967,3.783847457048222,2585.051413089321,1.1273204394144176,1.1282198996801278,72,173,60.76008512769154
56,14:00,2578.0505940842504,2576.044752061328,2.0058420229226845,2578.0505940842504,7.7615694472936125,2583.8063215086217,1.1251644620684864,1.12767649188129,78,240,60.668154732098145
57,14:15,2585.0491709561634,2582.6675409624618,2.381629993701461,2585.0491709561634,5.017877858134519,2587.685418820596,1.1282189211234794,1.1293694852035912,89,189,60.668154732098145
58,14:30,2601.583475330761,2598.7330015765533,2.85047375420748,2601.583475330761,3.1719095128876917,2601.904911089441,1.1354351533145814,1.135575440744679,104,146,60.668154732098145
59,14:45,2611.1416236925706,2607.729730642067,3.4118930505039082,2611.1416236925706,3.668696390242267,2611.398427032309,1.1396067118109758,1.1397187910666262,124,165,60.668154732098145
60,15:00,2608.792879041665,2604.7286402566765,4.064238784988312,2608.792879041665,4.30054972544065,2609.0291899821173,1.1385816256401549,1.1386847611925777,148,188,64.89689784677016
61,15:15,2623.2700038668236,2618.4658885800836,4.804115286739732,2623.2700038668236,4.774147029020419,2623.240035609104,1.1449000223401948,1.144886942993089,176,192,64.89689784677016
62,15:30,2649.418163586856,2643.7923499327767,5.625813654079303,2649.418163586856,5.665797188521566,2649.458147121298,1.156312125784938,1.1563295761996528,208,227,64.89689784677016
63,15:45,2677.171620819048,2670.6507995251245,6.520821293923207,2677.171620819048,6.550659586187827,2677.2014591113125,1.1684248453137385,1.168437867938718,243,267,64.89689784677016
64,16:00,2687.344863879658,2679.867395647862,7.477468231796141,2687.344863879658,7.454471871841093,2687.321867519703,1.1728648557549801,1.1728548192230992,283,310,72.34303705558338
65,16:15,2724.6054826262657,2716.1247211382542,8.480761488011622,2724.6054826262657,8.538769284769094,2724.663490423023,1.189126881079296,1.1891521980034807,325,356,72.34303705558338
66,16:30,2727.8394330965457,2718.3269878622514,9.512445234294159,2727.8394330965457,9.449986224882583,2727.776974087134,1.1905383064987964,1.1905110468872562,369,405,72.34303705558338
67,16:45,2748.1365096486675,2737.585202295525,10.551307353142612,2748.1365096486675,8.450795900701442,2746.0359981962265,1.1993967630677775,1.1984800157999473,416,389,72.34303705558338
68,17:00,2716.9171519747106,2707.692408568393,9.224743406317355,2716.9171519747106,5.29736551398763,2712.989774082381,1.1857713858684527,1.184057320968523,463,355,88.01176514772158
69,17:15,2712.673055714666,2704.0296203344506,8.64343538021559,2712.673055714666,5.012100498612865,2709.041720833063,1.1839190923966498,1.182334232515302,516,375,88.01176514772158
70,17:30,2688.28170964354,2678.4713242871594,9.810385356380898,2688.28170964354,5.61584046881586,2684.087164755975,1.1732737327422582,1.1714430654726287,606,407,88.01176514772158
71,17:45,2666.8732299163316,2655.91859727307,10.954632643261535,2666.8732299163316,6.312329409638564,2662.2309266827087,1.1639302153453372,1.1619041284125966,697,446,88.01176514772158
72,18:00,2645.0160186817698,2632.9615537500217,12.054464931747956,2645.0160186817698,6.668251679364934,2639.6298054293866,1.1543908535587666,1.152040094519898,787,466,97.21292438657987
73,18:15,2610.8518385277202,2597.7631425320387,13.088695995681526,2610.8518385277202,6.779938152474847,2604.5430806845134,1.1394802379667959,1.136726843544956,874,512,97.21292438657987
74,18:30,2577.676759309002,2563.6391883463116,14.037570962690463,2577.676759309002,6.857088641894855,2570.4962769882063,1.1250013056103627,1.12186745573697,957,523,97.21292438657987
