slot,time,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active,price_eur_mwh
0,00:00,2000.1104144837768,1997.703310489167,2.407103994609745,2000.1104144837768,1.1470678644088717,1998.850378353576,0.8729282364567402,0.8723783062583657,211,99,72.00150726089134
1,00:15,1998.183396820062,1996.3650451400122,1.8183516800497102,1998.183396820062,0.7938242170154904,1997.1588693570277,0.8720872088221525,0.8716400640320291,165,72,72.00150726089134
2,00:30,1998.9379576784106,1997.5234091533293,1.414548525081227,1998.9379576784106,0.6042757733027471,1998.1276849266321,0.8724165293809615,0.8720628939220704,129,55,72.00150726089134
3,00:45,2000.6906976692694,1999.616376119542,1.0743215497273997,2000.6906976692694,0.46240370284138016,2000.0787798223835,0.8731814952638988,0.8729144298243758,98,42,72.00150726089134
4,01:00,1986.97441332439,1986.1833849281445,0.7910283962454527,1986.97441332439,0.34992830747777476,1986.5333132356222,0.8671951598010114,0.867002646067869,72,32,66.68505131414268
5,01:15,1946.4311528935905,1945.8732396820265,0.5579132115639313,1946.4311528935905,0.23744550374715953,1946.1106851857737,0.8495004582626472,0.8493605933286915,51,22,66.68505131414268
6,01:30,1918.2121766071323,1917.8438331387176,0.3683434684146015,1918.2121766071323,0.15068636721364648,1917.9945195059313,0.8371845675868266,0.8370895733164464,33,14,66.68505131414268
7,01:45,1920.2012854128002,1919.9852850517432,0.21600036105694737,1920.2012854128002,0.06072579684178952,1920.046010848585,0.8380526942808723,0.8379849262464051,20,6,66.68505131414268
8,02:00,1921.2619498408671,1921.1669281516113,0.09502168925580923,1921.2619498408671,7.399501476250618,1928.566429627862,0.8385156106888666,0.8417035780193307,9,790,63.89488610763455
9,02:15,1934.5309371644676,1934.530837338517,9.982595060382066e-05,1934.5309371644676,11.978187769748942,1946.5090251082659,0.8443067278292405,0.8495344448138562,0,1280,63.89488610763455
10,02:30,1912.7041207226225,1912.7039096111414,0.00021111148116043053,1912.7041207226225,11.978309733229786,1924.682219344371,0.8347806315467199,0.8400083531916204,0,1280,63.89488610763455
11,02:45,1935.789197133441,1935.788762643815,0.0004344896258146398,1935.789197133441,11.978554544715433,1947.7673171885306,0.844855882839767,0.8500836138390355,0,1280,63.89488610763455
12,03:00,1916.8064173963676,1916.8055471033492,0.0008702930183882125,1916.8064173963676,19.635474300827248,1936.4410214041766,0.8365710380037348,0.8451403650398559,0,1406,61.357474342928654
13,03:15,1912.0017928440034,1912.000096196901,0.0016966471022636705,1912.0017928440034,24.35785259549135,1936.3579487923923,0.8344741075508155,0.8451041088272101,0,1571,61.357474342928654
14,03:30,1905.2916716655361,1905.28845221943,0.003219446106217063,1905.2916716655361,29.42128047681318,1934.709732696243,0.8315455421054713,0.8443847613553443,0,1578,61.357474342928654
15,03:45,1923.9257892009418,1923.919842711189,0.005946489752949573,1923.9257892009418,14.111384908881453,1938.0312276200705,0.8396782168019867,0.8458343946782152,0,1330,61.357474342928654
