run_id,app_adoption_target,app_adoption_actual,zone_capacity_mw,peak_unmanaged_mw,peak_managed_mw,peak_reduction_mw,peak_stress_unmanaged,peak_stress_managed,ev_energy_managed_mwh,ev_energy_target_mwh,daily_unmanaged_ev_cost_eur,daily_managed_ev_cost_eur,daily_fleet_savings_eur,daily_app_user_savings_eur,daily_savings_per_app_user_eur,annual_fleet_savings_eur,annual_customer_savings_eur,annual_savings_per_app_user_eur,monthly_savings_per_app_user_eur,monthly_savings_per_ev_eur,app_users_count,annual_dso_savings_eur
1,0.6,0.5978,2291.2655713857143,2687.939225428361,2684.345147382661,3.594078045700371,1.1731242589233102,1.1715556594163021,125.0,125.0,10835.132002026,9351.637148207661,1483.494853818338,1482.7618361608402,0.4960728792776314,541475.6216436934,905333.0046816772,181.06660093633545,15.088883411361287,9.024593694061558,2989.0,434443.21048367553
2,0.6,0.608,2291.2655713857143,2717.648913275017,2714.5647265588345,3.0841867161825576,1.1860907557876121,1.1847446932644812,125.0,125.0,10835.132002026,9357.626607626004,1477.5053943999956,1476.9962468786744,0.4858540285785113,539289.4689559984,886683.6021557831,177.3367204311566,14.778060035929718,8.988157815933308,3040.0,60277.000601266634
3,0.6,0.5966,2291.2655713857143,2707.0513745841395,2704.085322752584,2.9660518315554327,1.1814655657514923,1.1801710620201935,125.0,125.0,10835.132002026,9376.360800140137,1458.771201885862,1458.889767177131,0.48906797424644016,532451.4886883396,892549.0529997534,178.50981059995067,14.875817549995888,8.874191478138993,2983.0,61922.30098352336
4,0.6,0.6018,2291.2655713857143,2699.396103080004,2695.129050468805,4.267052611199233,1.1781244988757285,1.1762621863334863,125.0,125.0,10835.132002026,9380.220668462987,1454.9113335630118,1455.2951918311892,0.4836474549123261,531042.6367504993,882656.6052149951,176.53132104299902,14.710943420249919,8.85071061250832,3009.0,172484.9498807407
5,0.6,0.5956,2291.2655713857143,2713.2535784548354,2709.672229220818,3.58134923401758,1.184172455755057,1.1826094116109198,125.0,125.0,10835.132002026,9379.424871006253,1455.7071310197462,1455.363488160625,0.4887049993823455,531333.1028222074,891886.6238727806,178.37732477455612,14.864777064546344,8.855551713703456,2978.0,170383.18895651534
6,0.6,0.5916,2291.2655713857143,2735.8346573276713,2731.6865393137523,4.148118013918975,1.1940277423507437,1.192217337626943,125.0,125.0,10835.132002026,9370.185061671531,1464.946940354468,1465.2885318821873,0.49536461524076647,534705.6332293808,904040.4228143989,180.80808456287977,15.067340380239981,8.911760553823013,2958.0,60184.03389557314
7,0.6,0.5996,2291.2655713857143,2731.197278911855,2729.231949299284,1.965329612570713,1.1920038048056028,1.191146056303153,125.0,125.0,10835.132002026,9338.490483548252,1496.641518477747,1494.5791042370538,0.4985253850023528,546274.1542443776,909808.827629294,181.9617655258588,15.163480460488232,9.104569237406293,2998.0,175378.07352282517
8,0.6,0.5906,2291.2655713857143,2748.1365096486675,2746.0359981962265,2.100511452440969,1.1993967630677775,1.1984800157999473,125.0,125.0,10835.132002026,9395.0008906655,1440.1311113604988,1443.053553007143,0.4886737395892797,525647.8556465821,891829.5747504353,178.36591495008707,14.86382624584059,8.760797594109702,2953.0,63555.69043145598
9,0.6,0.6036,2291.2655713857143,2788.16243461928,2783.6813591325918,4.481075486688042,1.2168656787056995,1.2149099580146328,125.00000000000001,125.0,10835.132002026,9364.027501750345,1471.1045002756546,1470.827758639146,0.4873518086942167,536953.1426006139,889417.0508669454,177.88341017338908,14.82361751444909,8.949219043343565,3018.0,327540.67780599213
10,0.6,0.6042,2291.2655713857143,2790.042973346242,2785.3816794750655,4.66129387117644,1.217686421072035,1.2156520458649929,125.0,125.0,10835.132002026,9379.530593141732,1455.6014088842676,1456.3932286194313,0.4820897810723043,531294.5142427577,879813.8504569554,175.96277009139106,14.66356417428259,8.85490857071263,3021.0,325052.0990147912
11,0.6,0.5916,2291.2655713857143,2700.5692940948,2696.6197263221247,3.9495677726754366,1.178636526389888,1.176912776938057,125.0,125.0,10835.132002026,9407.789037087325,1427.3429649386744,1426.4762291572579,0.4822434851782481,520980.1822026162,880094.3604503028,176.01887209006057,14.668239340838381,8.68300303671027,2958.0,57587.13900795132
12,0.6,0.5872,2291.2655713857143,2634.8183266363385,2631.679848252298,3.1384783840403543,1.149940172602013,1.1485704150220821,125.0,125.0,10835.132002026,9409.42102309022,1425.7109789357783,1428.12256057808,0.4864177658644687,520384.50731155905,887712.4227026555,177.5424845405311,14.795207045044258,8.673075121859316,2936.0,60002.402657087325
