slot,time,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active,price_eur_mwh
0,00:00,2087.2681833870147,2084.861079392405,2.407103994609745,2087.2681833870147,1.0150678644088718,2085.876147256814,0.9109673751719117,0.9103598348904249,211,87,72.00150726089134
1,00:15,2061.0067811473873,2059.1884294673378,1.8183516800497102,2061.0067811473873,0.7718242170154903,2059.960253684353,0.8995058481592464,0.8990491016886043,165,70,72.00150726089134
2,00:30,2053.24280473648,2051.828256211399,1.414548525081227,2053.24280473648,0.6262757733027471,2052.454531984702,0.8961173381114078,0.8957733043330355,129,57,72.00150726089134
3,00:45,2052.8729253633082,2051.798603813581,1.0743215497273997,2052.8729253633082,0.4954037028413802,2052.2940075164224,0.8959559079490594,0.8957032450303146,98,45,72.00150726089134
4,01:00,2018.3887841557778,2017.5977557595322,0.7910283962454527,2018.3887841557778,0.3389283074777748,2017.93668406701,0.8809056485473634,0.8807083339739618,72,31,66.68505131414268
5,01:15,1995.5903278814783,1995.0324146699143,0.5579132115639313,1995.5903278814783,0.2594455037471596,1995.2918601736615,0.8709554897534566,0.8708252265000196,51,24,66.68505131414268
6,01:30,1965.855983040243,1965.4876395718284,0.3683434684146015,1965.855983040243,0.18368636721364648,1965.671325939042,0.857978231589859,0.8578976398402569,33,17,66.68505131414268
7,01:45,1951.727839597551,1951.511839236494,0.21600036105694737,1951.727839597551,0.09372579684178953,1951.6055650333358,0.8518121443326112,0.851758778818922,20,9,66.68505131414268
8,02:00,1941.3959200239983,1941.3008983347424,0.09502168925580923,1941.3959200239983,2.5496402639508218,1943.8505385986932,0.8473028811103196,0.8483741748989354,9,270,63.89488610763455
9,02:15,1934.563370177315,1934.5632703513643,9.982595060382066e-05,1934.563370177315,7.299453585533373,1941.8627239368977,0.8443208828941323,0.8475066130210719,0,776,63.89488610763455
10,02:30,1914.6784443077659,1914.6782331962847,0.00021111148116043053,1914.6784443077659,12.632988114393914,1927.3112213106785,0.8356423053787713,0.8411557548717834,0,1343,63.89488610763455
11,02:45,1903.3469669244298,1903.346532434804,0.0004344896258146398,1903.3469669244298,12.633232925879561,1915.9797653606836,0.8306967951224097,0.8362102539697898,0,1343,63.89488610763455
12,03:00,1904.8903683383421,1904.8894980453238,0.0008702930183882125,1904.8903683383421,24.39167475440434,1929.2811727997282,0.8313703972718886,0.8420155205461125,0,1522,61.357474342928654
13,03:15,1913.5848582281562,1913.583161581054,0.0016966471022636705,1913.5848582281562,21.485156520700876,1935.0683181017548,0.8351650206444013,0.8445412623781807,0,1550,61.357474342928654
14,03:30,1902.1870526724708,1902.1838332263646,0.003219446106217063,1902.1870526724708,26.87411085326275,1929.0579440796273,0.8301905621189358,0.8419180945982483,0,1600,61.357474342928654
15,03:45,1916.6510639565129,1916.64511746676,0.005946489752949573,1916.6510639565129,18.75341519643497,1935.398532663195,0.8365032355447817,0.8446853812291617,0,1486,61.357474342928654
16,04:00,1934.9957973830506,1934.9851053766724,0.010692006378101564,1934.9957973830506,12.644474660916119,1947.6295800375885,0.8445096114339995,0.8500234998336307,1,1344,61.061131414267834
17,04:15,1956.01778131955,1955.999065487149,0.018715832401052682,1956.01778131955,12.65326838051783,1968.6523338676668,0.8536844465989105,0.8591986710109134,1,1344,61.061131414267834
18,04:30,1967.9268455955412,1967.8949488398284,0.031896755712789125,1967.9268455955412,10.15461924193714,1978.0495680817655,0.858882038892321,0.8633000001328865,2,1078,61.061131414267834
19,04:45,1972.1183694334006,1972.0654382747782,0.052931158622441916,1972.1183694334006,5.388235260696945,1977.4536735354752,0.8607113876549459,0.8630399279030534,3,570,61.061131414267834
20,05:00,1996.8694338610321,1996.783897954476,0.08553590655616344,1996.8694338610321,0.08736864191206345,1996.871266596388,0.8715137427973323,0.8715145426763943,4,5,64.70441551939925
21,05:15,2014.2052983125413,2014.0706789826934,0.1346193298480307,2014.2052983125413,0.13073064159941847,2014.2014096242929,0.8790798078873012,0.8790781107081104,7,8,64.70441551939925
22,05:30,2025.9204659532415,2025.714097340228,0.2063686130135267,2025.9204659532415,0.1973396828894369,2025.9114370231173,0.8841927759286335,0.8841888353421573,11,12,64.70441551939925
23,05:45,2062.6154243890765,2062.307234268875,0.3081901202011016,2062.6154243890765,0.30733742987625157,2062.614571698751,0.9002079244535784,0.9002075523053928,16,18,64.70441551939925
24,06:00,2111.7731033863984,2111.1561366436704,0.6169667427281533,2111.7731033863984,0.6079289956812522,2111.7640656393514,0.92166230303423,0.9216583585996957,24,26,76.242112640801
25,06:15,2150.642110136256,2149.6735270202844,0.9685831159717387,2150.642110136256,0.9579337067906329,2150.631460727075,0.9386262932566076,0.9386216454282136,34,38,76.242112640801
26,06:30,2191.1261947443577,2189.8329742699852,1.2932204743722724,2191.1261947443577,1.2622895798045772,2191.0952638497897,0.9562951680975181,0.9562816686171636,45,49,76.242112640801
27,06:45,2215.2374311366693,2213.5460684738605,1.6913626628086953,2215.2374311366693,1.7019660145701687,2215.2480344884307,0.9668182766770835,0.9668229044041762,58,64,76.242112640801
28,07:00,2259.272399020608,2257.1097443618087,2.1626546587995663,2259.272399020608,2.1493733839297393,2259.2591177457384,0.9860368990986247,0.9860311026187073,75,82,88.03397997496872
29,07:15,2350.024446674962,2347.324309934609,2.7001367403526464,2350.024446674962,1.6106774980179361,2348.934987432627,1.0256447249166805,1.0251692412992683,94,80,88.03397997496872
30,07:30,2417.7258426661665,2414.4366475448282,3.289195121338226,2417.7258426661665,1.9963939685508278,2416.433041513379,1.0551923237793737,1.054628093613769,116,85,88.03397997496872
31,07:45,2430.1269480897345,2426.219626666259,3.907321423475251,2430.1269480897345,2.2620173222475013,2428.4816439885067,1.0606046625228343,1.0598865859621007,140,92,88.03397997496872
32,08:00,2430.7206226964295,2426.1957196097705,4.524903086659143,2430.7206226964295,2.277637407008804,2428.4733570167796,1.060863765882178,1.0598829691959648,165,105,91.84339674593241
33,08:15,2486.8779408144037,2481.7708285279823,5.107112286421203,2486.8779408144037,2.6803037502788274,2484.451132278261,1.0853730671256876,1.0843139107509532,191,111,91.84339674593241
