slot,time,stochastic_grid_mw,base_load_mw,unmanaged_ev_mw,unmanaged_total_mw,managed_ev_mw,managed_total_mw,unmanaged_stress,managed_stress,unmanaged_evs_active,managed_evs_active,price_eur_mwh
0,00:00,2105.368328489016,2102.9612244944065,2.407103994609745,2105.368328489016,0.9760678644088716,2103.9372923588153,0.9188670029270021,0.9182424414845956,211,87,72.00150726089134
1,00:15,2099.090791477174,2097.2724397971247,1.8183516800497102,2099.090791477174,0.7278242170154903,2098.00026401414,0.9161272345255393,0.9156512846938598,165,66,72.00150726089134
2,00:30,2107.7706286452503,2106.3560801201693,1.414548525081227,2107.7706286452503,0.5602757733027469,2106.916355893472,0.9199154628638313,0.9195426240439027,129,51,72.00150726089134
3,00:45,2113.4952926554756,2112.4209711057483,1.0743215497273997,2113.4952926554756,0.44040370284138025,2112.8613748085895,0.9224139353594326,0.9221372682393908,98,40,72.00150726089134
4,01:00,2072.9455460499576,2072.154517653712,0.7910283962454527,2072.9455460499576,0.30592830747777483,2072.4604459611896,0.9047164029948214,0.9045046859006416,72,28,66.68505131414268
5,01:15,2088.8866684081986,2088.3287551966346,0.5579132115639313,2088.8866684081986,0.20444550374715953,2088.5332007003817,0.9116737468127185,0.9115194793579847,51,19,66.68505131414268
6,01:30,2089.9703911332035,2089.602047664789,0.3683434684146015,2089.9703911332035,0.13968636721364647,2089.7417340320026,0.9121467267843721,0.9120469316737326,33,13,66.68505131414268
7,01:45,2067.819234003132,2067.603233642075,0.21600036105694737,2067.819234003132,0.06072579684178952,2067.6639594389167,0.9024790752442344,0.9024113072097673,20,6,66.68505131414268
8,02:00,2057.662369659057,2057.567347969801,0.09502168925580923,2057.662369659057,0.049139108824933414,2057.616487078626,0.8980462131304235,0.8980261881359385,9,4,63.89488610763455
9,02:15,2070.954198861311,2070.9540990353603,9.982595060382066e-05,2070.954198861311,0.00010940434352305679,2070.954208439704,0.9038472993808556,0.9038473035612496,0,0,63.89488610763455
10,02:30,2062.546876461362,2062.5466653498806,0.00021111148116043053,2062.546876461362,0.0002313678243666341,2062.546896717705,0.9001780073943906,0.9001780162350693,0,0,63.89488610763455
11,02:45,2021.4627551686542,2021.4623206790284,0.0004344896258146398,2021.4627551686542,1.5409623011759734,2023.0032829802044,0.8822472525287025,0.8829196005230987,0,12,63.89488610763455
12,03:00,2033.2537296194066,2033.2528593263883,0.0008702930183882125,2033.2537296194066,0.0009537984439270426,2033.2538131248323,0.8873933056960014,0.8873933421411114,0,0,500.0
13,03:15,2007.9266079828349,2007.9249113357325,0.0016966471022636705,2007.9266079828349,16.73838533042207,2024.6632966661546,0.8763395361317626,0.8836440969353353,0,1433,61.357474342928654
14,03:30,2003.9770953897323,2003.9738759436261,0.003219446106217063,2003.9770953897323,20.20614801760691,2024.180023961233,0.8746158107625056,0.8834331773846045,0,1460,61.357474342928654
15,03:45,2012.624872010727,2012.618925520974,0.005946489752949573,2012.624872010727,12.891827644767679,2025.5107531657418,0.8783900465948734,0.8840139608699968,0,1351,61.357474342928654
16,04:00,1993.8467944881877,1993.8361024818096,0.010692006378101564,1993.8467944881877,28.85817637190997,2022.6942788537197,0.870194541998179,0.8827847387548499,1,1649,61.061131414267834
17,04:15,1998.9078758007724,1998.8891599683714,0.018715832401052682,1998.9078758007724,25.058546068009704,2023.947706036381,0.8724034004455758,0.8833317845440044,1,1630,61.061131414267834
18,04:30,2011.7610995905907,2011.729202834878,0.031896755712789125,2011.7610995905907,13.603342443374423,2025.3325452782524,0.8780130617394628,0.8839361838153791,2,1369,61.061131414267834
19,04:45,2038.4544472217115,2038.401516063089,0.052931158622441916,2038.4544472217115,12.726192294264713,2051.1277083573536,0.8896631070089761,0.8951942253978312,3,1349,61.061131414267834
20,05:00,2047.9933466068348,2047.9078107002788,0.08553590655616344,2047.9933466068348,12.758753661836195,2060.666564362115,0.8938262644815315,0.8993573639374604,4,1351,64.70441551939925
21,05:15,2091.322535798418,2091.1879164685697,0.1346193298480307,2091.322535798418,12.80216613017447,2103.9900825987443,0.9127368568339398,0.9182654812581549,7,1354,64.70441551939925
22,05:30,2142.6828098980604,2142.476441285047,0.2063686130135267,2142.6828098980604,12.872005186892046,2155.348446471939,0.9351525360729818,0.940680326797921,11,1358,64.70441551939925
23,05:45,2158.5598168664865,2158.251626746285,0.3081901202011016,2158.5598168664865,0.3146933489451553,2158.5663200952304,0.9420818973686363,0.9420847356379427,16,18,64.70441551939925
24,06:00,2160.825770288811,2160.208803546083,0.6169667427281533,2160.825770288811,0.6210906643026415,2160.8298942103856,0.9430708501337032,0.9430726499781326,24,26,76.242112640801
25,06:15,2200.3256125503895,2199.3570294344177,0.9685831159717387,2200.3256125503895,0.96881544365776,2200.3258448780753,0.9603101622216904,0.960310263618791,34,38,76.242112640801
26,06:30,2264.0269734281414,2262.733752953769,1.2932204743722724,2264.0269734281414,1.2662114363218175,2263.999964390091,0.9881119856651538,0.9881001978399503,45,49,76.242112640801
27,06:45,2284.365222477718,2282.673859814909,1.6913626628086953,2284.365222477718,1.725046941263825,2284.398906756173,0.9969884115598947,0.9970031127271778,58,64,76.242112640801
28,07:00,2368.269055346349,2366.1064006875495,2.1626546587995663,2368.269055346349,2.1743745835798864,2368.280775271129,1.0336074023553998,1.033612517399647,75,82,88.03397997496872
29,07:15,2475.6496876200204,2472.9495508796676,2.7001367403526464,2475.6496876200204,2.664236600168108,2475.6137874798355,1.0804726080367864,1.0804569397787576,94,103,88.03397997496872
30,07:30,2534.912750800786,2531.6235556794477,3.289195121338226,2534.912750800786,3.1665700799597687,2534.7901257594076,1.1063373807287291,1.1062838622527786,116,115,88.03397997496872
31,07:45,2570.607523221541,2566.700201798066,3.907321423475251,2570.607523221541,2.319143670583849,2569.0193454686496,1.1219160080456698,1.121222863709751,140,105,88.03397997496872
32,08:00,2601.1398872000445,2596.6149841133856,4.524903086659143,2601.1398872000445,1.8199082889847475,2598.43489240237,1.1352415537003526,1.134060985707076,165,98,91.84339674593241
33,08:15,2669.191105547935,2664.0839932615136,5.107112286421203,2669.191105547935,2.4537387580547416,2666.5377320195685,1.1649418290406461,1.1637837906353634,191,105,91.84339674593241
34,08:30,2685.6555978877873,2680.004043536285,5.651554351502406,2685.6555978877873,2.5945923825580097,2682.598635918843,1.1721275924656578,1.1707934119118535,217,112,91.84339674593241
35,08:45,2706.1778734482286,2700.0773825904275,6.1004908578009385,2706.1778734482286,3.2231906828336454,2703.3005732732613,1.1810843348951396,1.1798285659389347,243,129,91.84339674593241
36,09:00,2717.648913275017,2711.223101074309,6.425812200708089,2717.648913275017,3.3416254845257525,2714.5647265588345,1.1860907557876121,1.1847446932644812,265,145,86.27630037546933
37,09:15,2697.833435384559,2691.2259031109174,6.607532273641648,2697.833435384559,3.5343366680909343,2694.7602397790083,1.177442488149883,1.1761012225873355,282,165,86.27630037546933
38,09:30,2693.2862364836556,2686.6503060009027,6.635930482752797,2693.2862364836556,3.4339442029460425,2690.0842502038486,1.175457908554357,1.1740604335869003,294,177,86.27630037546933
39,09:45,2649.6759958391644,2643.1635624784512,6.512433360713383,2649.6759958391644,3.887738235603823,2647.0513007140553,1.1564246540992147,1.155279132096926,301,196,86.27630037546933
40,10:00,2640.237816569892,2633.9886757827053,6.249140787186504,2640.237816569892,3.595050049727792,2637.583725832433,1.1523054549163962,1.1511471034923604,301,210,77.34846808510639
41,10:15,2611.1438775178217,2605.2767355468222,5.867141970999246,2611.1438775178217,3.128609319244435,2608.4053448660666,1.1396076954705217,1.1384124902154193,294,218,77.34846808510639
42,10:30,2607.80448834884,2602.410525340502,5.393963008338207,2607.80448834884,3.1498959497487795,2605.560421290251,1.1381502523828737,1.1371708517029115,282,231,77.34846808510639
43,10:45,2600.5598372314766,2595.6992372403915,4.8605999910849516,2600.5598372314766,4.04927994876743,2599.748517189159,1.1349883966783942,1.1346343041399953,265,320,77.34846808510639
44,11:00,2582.86905575243,2578.570452615021,4.298603137408841,2582.86905575243,3.6860153010680934,2582.256467916089,1.1272674315925584,1.1270000737428219,244,319,70.93126908635794
45,11:15,2587.0896372119605,2583.3520383147907,3.737598897170004,2587.0896372119605,4.490566061057734,2587.842604375848,1.1291094622642706,1.1294380872710315,221,334,70.93126908635794
46,11:30,2573.3837677414,2570.180268215127,3.2034995262728927,2573.3837677414,9.523776610319157,2579.704044825446,1.1231276722693764,1.1258860941489597,196,372,70.93126908635794
47,11:45,2585.430235305093,2582.7127421821265,2.717493122966565,2585.430235305093,4.891666497988831,2587.6044086801153,1.1283852328569113,1.1293341291359695,171,319,70.93126908635794
48,12:00,2579.2868075877714,2576.991039618063,2.295767969708327,2579.2868075877714,14.144248980380336,2591.1352885984434,1.125703995119111,1.1308751464507771,147,502,64.54491236855283
49,12:15,2581.979103024044,2580.0292758246787,1.9498271993650784,2581.979103024044,11.802673190116508,2591.831949014795,1.1268790206027979,1.131179196939316,125,442,64.54491236855283
50,12:30,2597.3875215041853,2595.700319972883,1.6872015313024484,2597.3875215041853,2.2121009407358256,2597.912420913619,1.1336038711275769,1.1338329582382065,106,200,64.54491236855283
51,12:45,2598.7338052404184,2597.221441564126,1.5123636762924535,2598.7338052404184,2.4951854587005347,2599.7166270228267,1.1341914432331617,1.1346203859950494,91,194,64.54491236855283
52,13:00,2594.112164043252,2592.684489625946,1.4276744173062754,2594.112164043252,2.9442000123459953,2595.6286896382917,1.1321743740400996,1.1328362465065558,80,180,60.76008512769154
53,13:15,2636.31803447694,2634.8838026262015,1.4342318507382894,2636.31803447694,0.9990983517730105,2635.8829009779747,1.150594705127326,1.1504047954527779,73,70,60.76008512769154
54,13:30,2634.8892912714837,2633.3567520994584,1.5325391720254908,2634.8892912714837,1.372494679505748,2634.7292467789644,1.149971144409049,1.1499012945869604,70,72,60.76008512769154
55,13:45,2626.4605927917596,2624.7376476743625,1.7229451173972157,2626.4605927917596,1.2906857615084883,2626.028333435871,1.146292523045823,1.146103867762347,72,70,60.76008512769154
56,14:00,2608.1245954849,2606.1187534619776,2.0058420229226845,2608.1245954849,1.0427972978344404,2607.161550759812,1.1382899599488834,1.1378696486863589,78,66,60.668154732098145
57,14:15,2606.4234767383036,2604.041846744602,2.381629993701461,2606.4234767383036,2.741235888040441,2606.7830826326426,1.137547523643009,1.1377044700480134,89,111,60.668154732098145
58,14:30,2605.553847974033,2602.7033742198255,2.85047375420748,2605.553847974033,3.8937630251142736,2606.59713724494,1.1371679828446264,1.13762331603862,104,134,60.668154732098145
59,14:45,2620.670287018662,2617.258393968158,3.4118930505039082,2620.670287018662,1.7422447219741992,2619.0006386901323,1.143765401857686,1.1430367005018147,124,96,60.668154732098145
60,15:00,2605.9221225574333,2601.857883772445,4.064238784988312,2605.9221225574333,2.3063554734407488,2604.1642392458857,1.137328712612489,1.1365615019785489,148,106,64.89689784677016
61,15:15,2619.003148489957,2614.199033203217,4.804115286739732,2619.003148489957,2.8538097326588483,2617.0528429358756,1.1430377958789093,1.1421866044769011,176,119,64.89689784677016
62,15:30,2637.653333088967,2632.027519434888,5.625813654079303,2637.653333088967,2.7205226598056718,2634.7480420946936,1.1511774828850432,1.1499094976150004,208,122,64.89689784677016
63,15:45,2627.606889704702,2621.086068410779,6.520821293923207,2627.606889704702,2.925407116131551,2624.0114755269105,1.1467928128975353,1.145223630249006,243,138,64.89689784677016
64,16:00,2637.1416816520505,2629.6642134202543,7.477468231796141,2637.1416816520505,4.02253256368462,2633.686745983939,1.1509541777198515,1.149446305515399,283,159,72.34303705558338
65,16:15,2649.7881404802197,2641.307378992208,8.480761488011622,2649.7881404802197,3.7394053969562244,2645.0467843891643,1.156473598509001,1.1544042809448272,325,170,72.34303705558338
66,16:30,2671.8688484898876,2662.3564032555932,9.512445234294159,2671.8688484898876,3.8675646505425956,2666.223967906136,1.1661105032333687,1.1636468514182987,369,191,72.34303705558338
67,16:45,2661.6693367349253,2651.118029381783,10.551307353142612,2661.6693367349253,4.822176966371298,2655.9402063481543,1.1616590280825447,1.1591586062814585,416,226,72.34303705558338
68,17:00,2651.122171745988,2641.8974283396706,9.224743406317355,2651.122171745988,4.177882873954518,2646.075311213625,1.1570558231460875,1.154853171216346,463,256,88.01176514772158
69,17:15,2638.2323392467674,2629.588903866552,8.64343538021559,2638.2323392467674,4.46025127483442,2634.049155141386,1.1514301843462058,1.1496044753766201,516,301,88.01176514772158
70,17:30,2625.4943337358945,2615.683948379514,9.810385356380898,2625.4943337358945,5.213280988715473,2620.897229368229,1.1458708089206984,1.143864448582082,606,368,88.01176514772158
71,17:45,2600.509738812762,2589.5551061695005,10.954632643261535,2600.509738812762,6.019570487692524,2595.574676657193,1.134966531723349,1.1328126730798116,697,440,88.01176514772158
72,18:00,2576.5698458720676,2564.5153809403196,12.054464931747956,2576.5698458720676,7.187234449007049,2571.7026153893266,1.1245182042838477,1.1223939500971987,787,517,97.21292438657987
73,18:15,2540.43287874582,2527.3441827501383,13.088695995681526,2540.43287874582,9.007528232051989,2536.3517109821905,1.1087465854992156,1.1069654005442298,874,598,97.21292438657987
74,18:30,2519.776774520738,2505.7392035580474,14.037570962690463,2519.776774520738,8.999196322723773,2514.7383998807713,1.0997314348841825,1.0975324865375187,957,632,97.21292438657987
75,18:45,2509.180571412683,2494.296943744098,14.883627668585103,2509.180571412683,10.125672693971302,2504.4226164380693,1.0951068277498612,1.0930302657685558,1035,668,97.21292438657987
76,19:00,2474.2764971999254,2458.6640402066996,15.612456993225978,2474.2764971999254,10.275714661303061,2468.9397548680026,1.0798732927774626,1.0775441248282862,1105,688,102.04576865297946
77,19:15,2455.3133424586586,2439.1000306546207,16.21331180403764,2455.3133424586586,10.983132353362146,2450.083163007983,1.0715970130750627,1.0693143534322906,1168,705,102.04576865297946
78,19:30,2400.6616244008846,2384.4670114954392,16.194612905445354,2400.6616244008846,10.966347573465601,2395.433359068905,1.0477448159573268,1.0454629917125633,1177,688,102.04576865297946
79,19:45,2394.1350391234755,2378.1287078623095,16.0063312611658,2394.1350391234755,10.84450306249737,2388.973210924807,1.044896352924968,1.0426435245042334,1174,667,102.04576865297946
80,20:00,2362.0332842255316,2346.378643270465,15.654640955066535,2362.0332842255316,11.875531253438666,2358.2541745239037,1.0308858622604007,1.0292365075331167,1159,653,97.74420630946419
81,20:15,2343.364180153856,2328.2135293985752,15.150650755280601,2343.364180153856,11.265305948764897,2339.47883534734,1.0227379180391707,1.0210421980602045,1132,610,97.74420630946419
82,20:30,2299.5057983195857,2284.9959740863283,14.509824233257403,2299.5057983195857,9.206160068584685,2294.202134154913,1.0035963648373103,1.0012816335242285,1093,526,97.74420630946419
83,20:45,2279.221074419262,2265.4698768442518,13.751197575010297,2279.221074419262,5.8856377875681565,2271.35551463182,0.9947432994599714,0.9913104543608827,1045,433,97.74420630946419
84,21:00,2273.4618030478046,2260.565353257699,12.89644979010566,2273.4618030478046,5.333876156753296,2265.8992294144523,0.992229722926818,0.9889291131119642,988,404,89.01616925388082
85,21:15,2270.0955747674534,2258.126686854887,11.96888791256654,2270.0955747674534,4.917313853310551,2263.0440007081975,0.9907605661767711,0.9876829770280845,925,385,89.01616925388082
86,21:30,2236.233006709606,2225.240594358118,10.992412351488065,2236.233006709606,4.647144552844005,2229.887738910962,0.9759815861751784,0.9732122573475269,856,367,89.01616925388082
87,21:45,2210.3927766574557,2200.4022517940616,9.99052486339425,2210.3927766574557,4.388125027301184,2204.7903768213628,0.9647038755619461,0.962258764045386,784,341,89.01616925388082
88,22:00,2204.544999873813,2195.5595656153623,8.985434258450965,2204.544999873813,3.864595042864416,2199.424160658227,0.9621516717246119,0.9599167325366201,711,310,83.9599023535303
89,22:15,2141.5618825021,2133.564578602642,7.997303899457852,2141.5618825021,3.7706526557702684,2137.3352312584125,0.9346633184938592,0.9328186387254064,637,283,83.9599023535303
90,22:30,2089.5437799264187,2082.5001083666834,7.043671559735241,2089.5437799264187,3.175518405020485,2085.6756267717037,0.9119605365792242,0.9102723197251754,565,254,83.9599023535303
91,22:45,2060.7320042435895,2054.5929465959525,6.139057647636909,2060.7320042435895,2.8791059456719195,2057.4720525416246,0.8993859245208741,0.897963151123204,496,225,83.9599023535303
92,23:00,2059.3212002925625,2054.0264367687096,5.29476352385273,2059.3212002925625,2.3158010144965657,2056.342237783206,0.8987701932112233,0.8974700547434007,430,196,75.42372058087132
93,23:15,2080.008533022757,2075.489684212674,4.518848810082919,2080.008533022757,1.9944365614019657,2077.484120774076,0.9077989731957641,0.906697218654428,370,170,75.42372058087132
94,23:30,2049.4792840377504,2045.6630179130893,3.8162661246610856,2049.4792840377504,1.5654404130627562,2047.2284583261521,0.8944747870489164,0.8934924366222754,314,140,75.42372058087132
95,23:45,2043.180775675539,2039.9916515100363,3.189124165502731,2043.180775675539,1.1701235989230725,2041.1617751089593,0.8917258659108039,0.8908446932559211,264,108,75.42372058087132
