run_id,app_adoption_target,app_adoption_actual,zone_capacity_mw,peak_unmanaged_mw,peak_managed_mw,peak_reduction_mw,peak_stress_unmanaged,peak_stress_managed,ev_energy_managed_mwh,ev_energy_target_mwh,daily_unmanaged_ev_cost_eur,daily_managed_ev_cost_eur,daily_fleet_savings_eur,daily_app_user_savings_eur,daily_savings_per_app_user_eur,annual_fleet_savings_eur,annual_customer_savings_eur,annual_savings_per_app_user_eur,monthly_savings_per_app_user_eur,monthly_savings_per_ev_eur,app_users_count,annual_dso_savings_eur
1,0.6,0.5978,2291.2655713857143,2687.939225428361,2683.425237350019,4.513988078342209,1.1731242589233102,1.1711541738599658,125.0,125.0,10835.22743890791,9746.825357098141,1088.4020818097688,1087.678221409964,0.363893683977907,397266.7598605656,664105.9732596803,132.82119465193605,11.068432887661338,6.6211126643427605,2989.0,432341.4974199154
2,0.6,0.608,2291.2655713857143,2717.648913275017,2714.5647265588345,3.0841867161825576,1.1860907557876121,1.1847446932644812,125.0,125.0,10835.22743890791,9613.375569511152,1221.851869396758,1221.351879133127,0.4017604865569497,445975.9323298167,733212.8879664332,146.64257759328663,12.220214799440553,7.432932205496945,3040.0,59572.19757005353
3,0.6,0.5966,2291.2655713857143,2707.0513745841395,2701.7144027590566,5.3369718250828555,1.1814655657514923,1.1791362976423159,125.0,125.0,10835.22743890791,9697.956939695856,1137.2704992120543,1137.3982217610164,0.3812934032051681,415103.73221239983,695860.4608494317,139.17209216988635,11.59767434749053,6.918395536873331,2983.0,61359.46930113415
4,0.6,0.6018,2291.2655713857143,2699.396103080004,2694.3020177183953,5.094085361608904,1.1781244988757285,1.1759012361403973,125.0,125.0,10835.22743890791,9622.917406400034,1212.3100325078758,1212.7030480337453,0.40302527352400974,442493.16186537466,735521.1241813177,147.10422483626357,12.258685403021964,7.374886031089577,3009.0,173022.42651811818
5,0.6,0.5956,2291.2655713857143,2713.2535784548354,2709.203132198228,4.050446256607302,1.184172455755057,1.1824046788953202,124.99999999999999,125.0,10835.22743890791,9844.356386026222,990.8710528816882,990.53656728026,0.33261805482883144,361667.9343018162,607027.9500626174,121.40559001252348,10.117132501043622,6.027798905030271,2978.0,166545.4474795003
